Team,Avg_Pts,Win Group,R32,Quarters,Semis,Final,Champion
España,0.2,82.7%,99.0%,90.3%,44.0%,29.7%,20.7%
Argentina,0.2,81.3%,99.3%,94.7%,53.0%,32.0%,19.7%
Francia,0.2,75.0%,97.7%,89.0%,59.3%,23.7%,15.3%
Inglaterra,0.1,62.7%,98.0%,77.7%,49.7%,28.3%,12.0%
Portugal,0.1,52.3%,97.7%,76.0%,46.7%,26.3%,9.0%
Brasil,0.1,64.7%,98.3%,74.7%,31.7%,12.7%,7.3%
Colombia,0.1,36.0%,92.3%,70.0%,33.7%,18.3%,6.3%
Países Bajos,0.0,55.3%,94.3%,67.7%,34.3%,17.7%,5.0%
Alemania,0.0,62.0%,98.7%,70.0%,11.0%,4.7%,3.0%
Canadá,0.0,37.3%,91.3%,30.7%,4.3%,1.3%,0.7%
Austria,0.0,3.3%,79.7%,21.0%,4.7%,1.0%,0.3%
Nueva Zelanda,0.0,3.3%,14.3%,2.0%,1.3%,0.3%,0.3%
Paraguay,0.0,16.0%,69.7%,17.0%,4.0%,1.0%,0.3%
Republic of Ireland,0.0,1.0%,2.3%,0.3%,0.0%,0.0%,0.0%
Irán,0.0,31.7%,93.0%,41.7%,0.0%,0.0%,0.0%
Bosnia,0.0,0.3%,1.3%,0.0%,0.0%,0.0%,0.0%
Haití,0.0,2.0%,5.7%,1.0%,0.0%,0.0%,0.0%
Irak,0.0,1.3%,20.3%,2.3%,0.3%,0.0%,0.0%
Catar,0.0,3.3%,15.3%,0.3%,0.0%,0.0%,0.0%
Jordan,0.0,2.0%,19.7%,2.7%,1.0%,0.0%,0.0%
Kosovo,0.0,0.0%,2.7%,0.0%,0.0%,0.0%,0.0%
Croacia,0.0,30.0%,96.7%,59.0%,0.0%,0.0%,0.0%
Suiza,0.0,21.3%,78.7%,34.3%,0.0%,0.0%,0.0%
Northern Ireland,0.0,0.7%,0.7%,0.0%,0.0%,0.0%,0.0%
Australia,0.0,27.0%,83.0%,29.0%,0.7%,0.0%,0.0%
Cape Verde,0.0,2.3%,25.0%,0.7%,0.0%,0.0%,0.0%
DR Congo,0.0,1.7%,6.0%,0.7%,0.0%,0.0%,0.0%
Jamaica,0.0,1.0%,4.3%,0.3%,0.0%,0.0%,0.0%
Ucrania,0.0,2.3%,22.3%,5.3%,1.7%,0.0%,0.0%
Curaçao,0.0,1.3%,9.7%,0.0%,0.0%,0.0%,0.0%
